trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
182,0.8925727158419199,0.09605914037542203,0.37766508639737223,0.7111,7.5,-18.67,57.37,0
183,0.933779027322593,0.5631923210284815,0.07533648690662009,0.8768,9.81,-14.85,79.77,0
184,0.6809266522308681,1.088524346587458,0.02232454448713944,0.8169,9.84,-23.45,80.13,0
185,0.7328522849437062,0.350471196377434,0.2450987712007932,0.8198,7.4,-13.5,56.44,0
186,1.086445173014796,0.5919479710207999,0.04205766727844101,0.8744,11.07,-16.09,93.2,0
187,0.7436674540557136,1.0123060617150494,0.31879435023922953,0.802,10.12,-21.94,83.02,0
188,1.1491490501342745,0.8042439064216259,0.38145150951976453,0.8386,12.45,-20.54,108.74,0
189,0.5581084817214473,0.43993006191913486,0.26976371763083934,0.7981,6.4,-13.02,47.55,0
190,0.838456483297326,1.0133746479446237,0.24128625429364697,0.8357,10.88,-21.96,91.07,0
191,1.268627589459379,1.0224186202574028,0.25239574145174903,0.8676,14.23,-23.89,130.3,0
192,1.40955224387135,0.7045487286443767,0.42513714941686087,0.8317,13.97,-23.57,127.05,0
193,0.8405907955915243,0.5985803502377822,0.26570552050228885,0.8431,9.27,-14.97,74.33,0
194,0.6049797158960706,0.47826300804184874,0.45866883627583804,0.7064,6.89,-19.15,51.83,0
195,1.1308322403647424,0.21300789892436098,0.16942781780480248,0.8055,9.82,-14.39,79.87,0
196,0.6916030096626998,0.029787758158287048,0.46373022925201335,0.6049,5.64,-19.88,41.04,0
197,0.9482073282568715,0.3690420869049434,0.2992385957788683,0.8122,9.13,-16.7,72.98,0
198,0.5073144562930156,0.3336265279209766,0.3515167328494463,0.7164,5.55,-15.22,40.28,0
199,1.1337697730692629,1.1781671370510425,0.310178854829022,0.848,13.79,-25.74,124.79,0
200,0.9775058736277328,0.9137190758208091,0.45166393598202653,0.8076,11.55,-21.43,98.39,0
201,1.2206959467183516,1.1558534682592554,0.3910025853690886,0.8426,14.36,-25.77,131.88,0
202,1.3668014382619265,0.13692488542036463,0.36620675149689386,0.7556,11.19,-21.6,94.49,0
203,0.9400886995273686,0.6637245628935302,0.3270512047411784,0.8346,10.3,-17.48,84.91,0
204,1.4698151167055693,1.1814936977179495,0.14411412274395263,0.8781,16.32,-27.26,158.05,0
205,1.2337534974379163,0.8999802455223224,0.1732464306565244,0.8753,13.48,-21.79,120.99,0
206,0.623869774864221,0.04913635234286371,0.3886715637645893,0.6318,5.23,-17.16,37.64,0
207,0.9896997418169059,1.1826482033939114,0.23248672809682652,0.8438,12.69,-25.29,111.53,0
208,1.4779169790738402,0.49389120263287184,0.3968410752799863,0.8152,13.58,-23.24,122.22,0
209,0.5848192723118321,0.6665540521653167,0.4010298934928621,0.7454,7.51,-17.27,57.44,0
210,1.4247016672198887,0.9870997087409179,0.018485363600587112,0.8802,15.19,-24.04,142.69,0
211,0.8727023413067342,0.058438166776621524,0.054641145557279,0.7752,7.15,-11.25,54.18,0
212,1.1753056286674841,0.8559098355740378,0.38686034137581315,0.8404,12.86,-20.88,113.47,0
